Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,Original Price
Hot Squash,Dresses,Blue,https://www.hotsquash.com/petite/petite-ascot-dress.html,https://www.hotsquash.com/media/catalog/product/cache/4bb4e4ca85f27fd99db41d70c70ba5fb/p/-/p-hswd00145_1_1.jpg,Petite Ascot Dress,£84.00,£105.00
Hot Squash,Dresses,Black,https://www.hotsquash.com/petite/petite-ascot-dress-black.html,https://www.hotsquash.com/media/catalog/product/cache/4bb4e4ca85f27fd99db41d70c70ba5fb/p/-/p-hswd00160_1.jpg,Petite Ascot Dress,£84.00,£105.00
Hot Squash,Dresses,"Pink, Blue",https://www.hotsquash.com/petite/petite-chiffon-midi-dress.html,https://www.hotsquash.com/media/catalog/product/cache/4bb4e4ca85f27fd99db41d70c70ba5fb/p/-/p-hswd00205_1_1.jpg,Petite Chiffon Midi Dress,£111.00,£139.00
Hot Squash,Dresses,"Red, Black",https://www.hotsquash.com/petite/petite-chiffon-midi-dress-coral.html,https://www.hotsquash.com/media/catalog/product/cache/4bb4e4ca85f27fd99db41d70c70ba5fb/p/-/p-hswd00212_1.jpg,Petite Chiffon Midi Dress,£111.00,£139.00
Hot Squash,Dresses,"Red, Black",https://www.hotsquash.com/petite/petite-chiffon-midi-dress-red-black-flowers.html,https://www.hotsquash.com/media/catalog/product/cache/4bb4e4ca85f27fd99db41d70c70ba5fb/p/-/p-hswd00294_1.jpg,Petite Chiffon Midi Dress,£111.00,£139.00
Hot Squash,Dresses,"Blue, Purple",https://www.hotsquash.com/petite/petite-maxi-jersey-dress.html,https://www.hotsquash.com/media/catalog/product/cache/4bb4e4ca85f27fd99db41d70c70ba5fb/p/-/p-hswd00305_1_1.jpg,Petite Maxi Jersey Dress,£95.00,£119.00
Hot Squash,Jumpsuits & Playsuits,Blue,https://www.hotsquash.com/petite/petite-wide-leg-jumpsuit.html,https://www.hotsquash.com/media/catalog/product/cache/4bb4e4ca85f27fd99db41d70c70ba5fb/p/-/p-hswj00445_1_1.jpg,Petite Wide Leg Jumpsuit,£103.00,£129.00
Hot Squash,Jumpsuits & Playsuits,"Black, Red",https://www.hotsquash.com/petite/petite-wide-leg-jumpsuit-pin-striped-floral.html,https://www.hotsquash.com/media/catalog/product/cache/4bb4e4ca85f27fd99db41d70c70ba5fb/p/-/p-hswj00494_1.jpg,Petite Wide Leg Jumpsuit,£103.00,£129.00
Hot Squash,Dresses,Purple,https://www.hotsquash.com/petite/petite-sleeveless-a-line-dress.html,https://www.hotsquash.com/media/catalog/product/cache/4bb4e4ca85f27fd99db41d70c70ba5fb/p/-/p-hswd00556_6.jpg,Petite Sleeveless A-Line Dress,£79.00,£99.00
Hot Squash,Dresses,Black,https://www.hotsquash.com/petite/petite-sleeveless-a-line-dress-black.html,https://www.hotsquash.com/media/catalog/product/cache/4bb4e4ca85f27fd99db41d70c70ba5fb/p/-/p-hswd00560.jpg,Petite Sleeveless A-Line Dress,£79.00,£99.00
Hot Squash,Jumpsuits & Playsuits,"Pink, Grey",https://www.hotsquash.com/petite/petite-wide-leg-jumpsuit-green-pink.html,https://www.hotsquash.com/media/catalog/product/cache/4bb4e4ca85f27fd99db41d70c70ba5fb/p/-/p-hswj00405_online.jpg,Petite Wide Leg Jumpsuit,£103.00,£129.00
Hot Squash,Jumpsuits & Playsuits,"White, Black",https://www.hotsquash.com/petite/petite-wide-leg-jumpsuit-black-white.html,https://www.hotsquash.com/media/catalog/product/cache/4bb4e4ca85f27fd99db41d70c70ba5fb/p/-/p-hswj00480.jpg,Petite Wide Leg Jumpsuit,£103.00,£129.00
